#center_z avg_z center_magnorm_agn avg_magnorm_agn number
3.55 3.542 24.5 24.532 33
3.55 3.553 25.5 25.451 37
3.55 3.546 26.5 26.553 63
3.55 3.545 27.5 27.516 91
3.55 3.549 28.5 28.522 168
3.55 3.548 29.5 29.548 271
3.55 3.550 30.5 30.551 492
3.55 3.547 31.5 31.562 963
3.55 3.565 32.5 32.037 82
3.65 3.694 19.5 19.905 1
3.65 3.659 20.5 20.738 4
3.65 3.638 21.5 21.707 5
3.65 3.656 22.5 22.540 11
3.65 3.640 23.5 23.488 14
3.65 3.645 24.5 24.491 17
3.65 3.650 25.5 25.516 32
3.65 3.640 26.5 26.499 44
3.65 3.651 27.5 27.522 89
3.65 3.649 28.5 28.518 161
3.65 3.647 29.5 29.546 223
3.65 3.650 30.5 30.550 432
3.65 3.648 31.5 31.552 848
3.65 3.658 32.5 32.063 143
3.75 3.740 19.5 19.635 2
3.75 3.770 20.5 20.602 3
3.75 3.741 21.5 21.726 5
3.75 3.756 22.5 22.580 12
3.75 3.763 23.5 23.561 11
3.75 3.741 24.5 24.591 16
3.75 3.750 25.5 25.590 46
3.75 3.743 26.5 26.583 61
3.75 3.748 27.5 27.558 67
3.75 3.746 28.5 28.558 141
3.75 3.753 29.5 29.540 229
3.75 3.750 30.5 30.554 375
3.75 3.750 31.5 31.557 730
3.75 3.752 32.5 32.096 189
3.85 3.897 19.5 19.993 1
3.85 3.829 20.5 20.607 3
3.85 3.844 21.5 21.367 3
3.85 3.871 22.5 22.385 9
3.85 3.846 23.5 23.517 19
3.85 3.854 24.5 24.528 32
3.85 3.857 25.5 25.456 36
3.85 3.843 26.5 26.551 65
3.85 3.851 27.5 27.480 60
3.85 3.852 28.5 28.531 122
3.85 3.850 29.5 29.536 175
3.85 3.850 30.5 30.547 388
3.85 3.850 31.5 31.568 587
3.85 3.853 32.5 32.134 257
3.95 3.932 19.5 19.767 1
3.95 3.942 20.5 20.585 2
3.95 3.963 21.5 21.573 4
3.95 3.966 22.5 22.508 5
3.95 3.952 23.5 23.707 14
3.95 3.951 24.5 24.433 21
3.95 3.955 25.5 25.592 35
3.95 3.945 26.5 26.522 43
3.95 3.947 27.5 27.477 73
3.95 3.948 28.5 28.522 117
3.95 3.953 29.5 29.548 191
3.95 3.945 30.5 30.550 330
3.95 3.947 31.5 31.562 598
3.95 3.955 32.5 32.164 279
4.05 4.085 20.5 20.721 1
4.05 4.046 22.5 22.466 8
4.05 4.039 23.5 23.622 17
4.05 4.045 24.5 24.542 14
4.05 4.046 25.5 25.547 31
4.05 4.047 26.5 26.522 45
4.05 4.052 27.5 27.536 74
4.05 4.053 28.5 28.497 94
4.05 4.049 29.5 29.513 150
4.05 4.048 30.5 30.571 317
4.05 4.047 31.5 31.537 533
4.05 4.053 32.5 32.207 355
4.15 4.134 20.5 20.280 1
4.15 4.157 21.5 21.837 3
4.15 4.120 22.5 22.698 7
4.15 4.146 23.5 23.521 8
4.15 4.147 24.5 24.478 19
4.15 4.140 25.5 25.555 22
4.15 4.154 26.5 26.554 43
4.15 4.149 27.5 27.542 51
4.15 4.151 28.5 28.594 81
4.15 4.148 29.5 29.501 157
4.15 4.150 30.5 30.531 258
4.15 4.150 31.5 31.546 476
4.15 4.153 32.5 32.243 366
4.25 4.226 21.5 21.875 1
4.25 4.255 22.5 22.768 4
4.25 4.253 23.5 23.494 10
4.25 4.245 24.5 24.462 23
4.25 4.240 25.5 25.538 38
4.25 4.241 26.5 26.507 35
4.25 4.242 27.5 27.537 44
4.25 4.247 28.5 28.527 80
4.25 4.249 29.5 29.546 147
4.25 4.253 30.5 30.539 220
4.25 4.251 31.5 31.550 413
4.25 4.254 32.5 32.276 386
4.35 4.331 19.5 19.221 1
4.35 4.345 22.5 22.594 5
4.35 4.366 23.5 23.696 8
4.35 4.341 24.5 24.604 18
4.35 4.349 25.5 25.477 21
4.35 4.352 26.5 26.534 37
4.35 4.350 27.5 27.577 48
4.35 4.344 28.5 28.505 87
4.35 4.345 29.5 29.539 120
4.35 4.351 30.5 30.571 204
4.35 4.346 31.5 31.544 391
4.35 4.351 32.5 32.315 369
4.45 4.486 21.5 21.731 1
4.45 4.441 23.5 23.461 10
4.45 4.445 24.5 24.524 12
4.45 4.463 25.5 25.551 9
4.45 4.446 26.5 26.548 35
4.45 4.448 27.5 27.492 39
4.45 4.445 28.5 28.655 58
4.45 4.451 29.5 29.570 101
4.45 4.449 30.5 30.541 188
4.45 4.450 31.5 31.565 355
4.45 4.450 32.5 32.339 370
4.55 4.593 19.5 19.856 1
4.55 4.536 21.5 21.537 3
4.55 4.574 22.5 22.612 4
4.55 4.547 23.5 23.644 9
4.55 4.549 24.5 24.622 10
4.55 4.549 25.5 25.555 16
4.55 4.558 26.5 26.556 32
4.55 4.546 27.5 27.438 40
4.55 4.552 28.5 28.539 63
4.55 4.547 29.5 29.487 118
4.55 4.551 30.5 30.545 195
4.55 4.550 31.5 31.572 334
4.55 4.550 32.5 32.353 381
4.65 4.630 19.5 19.815 1
4.65 4.645 21.5 21.713 1
4.65 4.642 23.5 23.475 7
4.65 4.662 24.5 24.501 8
4.65 4.653 25.5 25.544 15
4.65 4.649 26.5 26.556 37
4.65 4.655 27.5 27.558 45
4.65 4.656 28.5 28.511 64
4.65 4.654 29.5 29.575 94
4.65 4.651 30.5 30.530 161
4.65 4.650 31.5 31.556 328
4.65 4.651 32.5 32.394 359
4.75 4.730 22.5 22.603 5
4.75 4.767 23.5 23.412 9
4.75 4.731 24.5 24.500 5
4.75 4.752 25.5 25.461 22
4.75 4.744 26.5 26.408 30
4.75 4.754 27.5 27.510 31
4.75 4.751 28.5 28.469 68
4.75 4.747 29.5 29.513 69
4.75 4.751 30.5 30.546 159
4.75 4.749 31.5 31.546 258
4.75 4.752 32.5 32.431 380
4.85 4.839 22.5 22.218 2
4.85 4.839 23.5 23.646 6
4.85 4.838 24.5 24.457 11
4.85 4.846 25.5 25.531 21
4.85 4.863 26.5 26.416 22
4.85 4.844 27.5 27.566 19
4.85 4.848 28.5 28.516 52
4.85 4.847 29.5 29.589 74
4.85 4.856 30.5 30.515 133
4.85 4.852 31.5 31.556 252
4.85 4.849 32.5 32.468 389
4.95 4.950 22.5 22.458 7
4.95 4.937 23.5 23.644 7
4.95 4.938 24.5 24.641 11
4.95 4.959 25.5 25.517 13
4.95 4.945 26.5 26.564 25
4.95 4.954 27.5 27.553 26
4.95 4.953 28.5 28.544 34
4.95 4.945 29.5 29.604 66
4.95 4.951 30.5 30.540 131
4.95 4.952 31.5 31.530 229
4.95 4.948 32.5 32.468 362
5.05 5.042 20.5 20.933 1
5.05 5.038 22.5 22.639 4
5.05 5.058 23.5 23.666 6
5.05 5.064 24.5 24.636 6
5.05 5.047 25.5 25.530 20
5.05 5.054 26.5 26.430 18
5.05 5.052 27.5 27.536 26
5.05 5.046 28.5 28.580 44
5.05 5.049 29.5 29.567 68
5.05 5.048 30.5 30.500 118
5.05 5.050 31.5 31.561 191
5.05 5.047 32.5 32.546 374
5.15 5.127 20.5 20.760 1
5.15 5.178 21.5 21.957 2
5.15 5.161 23.5 23.486 3
5.15 5.161 24.5 24.547 12
5.15 5.149 25.5 25.566 15
5.15 5.150 26.5 26.527 27
5.15 5.155 27.5 27.549 16
5.15 5.158 28.5 28.585 36
5.15 5.145 29.5 29.530 64
5.15 5.152 30.5 30.558 113
5.15 5.152 31.5 31.563 205
5.15 5.149 32.5 32.564 317
5.15 5.195 33.5 33.008 2
5.25 5.299 21.5 21.515 1
5.25 5.287 22.5 22.625 4
5.25 5.254 23.5 23.579 6
5.25 5.261 24.5 24.631 7
5.25 5.240 25.5 25.710 5
5.25 5.254 26.5 26.594 18
5.25 5.249 27.5 27.515 27
5.25 5.247 28.5 28.593 25
5.25 5.243 29.5 29.511 60
5.25 5.256 30.5 30.541 91
5.25 5.248 31.5 31.521 155
5.25 5.246 32.5 32.535 324
5.25 5.260 33.5 33.027 24
5.35 5.333 21.5 21.606 2
5.35 5.303 22.5 22.897 1
5.35 5.363 23.5 23.806 2
5.35 5.345 24.5 24.339 8
5.35 5.341 25.5 25.428 7
5.35 5.344 26.5 26.594 16
